Sample Name,Target Name,CT,delta CT,delta CT mean,delta delta CT ,FC,log FC
AHR2 DMSO 1,slincR,25.841,10.783,11.56908774,-0.786,1.724,0.785701513
AHR2 DMSO 1,sox9b,25.527,10.47,10.28910232,0.181,0.882,-0.180526972
AHR2 DMSO 1,AHRRB,28.997,13.94,14.05245566,-0.113,1.081,0.112821341
AHR2 DMSO 1,lnc20580,28.038,12.98,12.81147552,0.169,0.889,-0.168995142
AHR2 DMSO 1,lnc42163,20.04,4.983,5.085842371,-0.103,1.074,0.103067636
AHR2 DMSO 1,lncBX901923.2,27.142,12.085,11.68634963,0.398,0.759,-0.398287058
AHR2 DMSO 2,beta actin,14.94,0,0,0,1,0
AHR2 DMSO 2,cyp1a,28.949,14.009,13.21634412,0.793,0.577,-0.792577505
AHR2 DMSO 2,slincR,25.8,10.859,11.56908774,-0.71,1.635,0.709681273
AHR2 DMSO 2,sox9b,25.397,10.457,10.28910232,0.168,0.89,-0.167866945
AHR2 DMSO 2,AHRRB,29.217,14.277,14.05245566,0.225,0.856,-0.224688768
AHR2 DMSO 2,lnc20580,27.929,12.989,12.81147552,0.178,0.884,-0.177523851
AHR2 DMSO 2,lnc42163,20.157,5.217,5.085842371,0.131,0.913,-0.131315947
AHR2 DMSO 2,lncBX901923.2,27.096,12.156,11.68634963,0.469,0.722,-0.469346285
AHR2 DMSO 3,beta actin,15.077,0,0,0,1,0
AHR2 DMSO 3,cyp1a,29.089,14.012,13.21634412,0.796,0.576,-0.795850515
AHR2 DMSO 3,slincR,25.883,10.806,11.56908774,-0.763,1.697,0.762650251
AHR2 DMSO 3,sox9b,25.544,10.467,10.28910232,0.178,0.884,-0.178324938
AHR2 DMSO 3,AHRRB,29.248,14.171,14.05245566,0.119,0.921,-0.118838549
AHR2 DMSO 3,lnc20580,28.021,12.944,12.81147552,0.132,0.912,-0.132445574
AHR2 DMSO 3,lnc42163,20.345,5.268,5.085842371,0.182,0.881,-0.182352781
AHR2 DMSO 3,lncBX901923.2,26.504,11.428,11.68634963,-0.259,1.196,0.2587955
AHR2 DMSO 4,beta actin,14.968,0,0,0,1,0
AHR2 DMSO 4,cyp1a,29.012,14.043,13.21634412,0.827,0.564,-0.826983213
AHR2 DMSO 4,slincR,26.098,11.13,11.56908774,-0.439,1.356,0.439164877
AHR2 DMSO 4,sox9b,25.495,10.527,10.28910232,0.238,0.848,-0.237966776
AHR2 DMSO 4,AHRRB,29.162,14.194,14.05245566,0.141,0.907,-0.141157389
AHR2 DMSO 4,lnc20580,28.123,13.155,12.81147552,0.343,0.788,-0.343126535
AHR2 DMSO 4,lnc42163,19.84,4.872,5.085842371,-0.214,1.16,0.213955164
AHR2 DMSO 4,lncBX901923.2,26.837,11.868,11.68634963,0.182,0.882,-0.181829691
AHR2 TCDD 1,beta actin,15.117,0,0,0,1,0
AHR2 TCDD 1,cyp1a,24.119,9.001,13.21634412,-4.215,18.57,4.214917421
AHR2 TCDD 1,slincR,25.989,10.872,11.56908774,-0.697,1.621,0.696798086
AHR2 TCDD 1,sox9b,25.873,10.756,10.28910232,0.467,0.724,-0.466934443
AHR2 TCDD 1,AHRRB,26.668,11.551,14.05245566,-2.501,5.661,2.501149893
AHR2 TCDD 1,lnc20580,27.958,12.841,12.81147552,0.029,0.98,-0.029461145
AHR2 TCDD 1,lnc42163,20.249,5.132,5.085842371,0.046,0.969,-0.045877218
AHR2 TCDD 1,lncBX901923.2,26.899,11.782,11.68634963,0.095,0.936,-0.095278025
AHR2 TCDD 2,beta actin,15.077,0,0,0,1,0
AHR2 TCDD 2,cyp1a,23.724,8.648,13.21634412,-4.569,23.733,4.568824053
AHR2 TCDD 2,slincR,25.867,10.79,11.56908774,-0.779,1.716,0.77906394
AHR2 TCDD 2,sox9b,25.835,10.758,10.28910232,0.469,0.722,-0.469171762
AHR2 TCDD 2,AHRRB,26.991,12.317,14.05245566,-1.736,3.33,1.735616659
AHR2 TCDD 2,lnc20580,27.7645,13.091,12.81147552,0.279,0.824,-0.279024485
AHR2 TCDD 2,lnc42163,20.145,5.069,5.085842371,-0.017,1.012,0.017139673
AHR2 TCDD 2,lncBX901923.2,26.873,11.796,11.68634963,0.11,0.927,-0.109630823
AHR2 TCDD 3,beta actin,14.969,0,0,0,1,0
AHR2 TCDD 3,cyp1a,23.999,9.03,13.21634412,-4.187,18.209,4.186544657
AHR2 TCDD 3,slincR,25.932,10.963,11.56908774,-0.606,1.522,0.606299162
AHR2 TCDD 3,sox9b,26.079,11.11,10.28910232,0.821,0.566,-0.821360826
AHR2 TCDD 3,AHRRB,27.33,12.802,14.05245566,-1.251,2.38,1.250724676
AHR2 TCDD 3,lnc20580,28.131,13.603,12.81147552,0.792,0.578,-0.791524485
AHR2 TCDD 3,lnc42163,20.252,5.283,5.085842371,0.197,0.872,-0.197174788
AHR2 TCDD 3,lncBX901923.2,26.295,11.326,11.68634963,-0.36,1.283,0.359961271
AHR2 TCDD 4,beta actin,15.267,0,0,0,1,0
AHR2 TCDD 4,cyp1a,24.032,8.765,13.21634412,-4.452,21.882,4.45166707
AHR2 TCDD 4,slincR,26.024,10.757,11.56908774,-0.812,1.755,0.811815023
AHR2 TCDD 4,sox9b,26.192,10.925,10.28910232,0.636,0.643,-0.636181116
AHR2 TCDD 4,AHRRB,27.08,11.813,14.05245566,-2.24,4.723,2.239784002
AHR2 TCDD 4,lnc20580,28.155,13.5,12.81147552,0.689,0.62,-0.688524485
AHR2 TCDD 4,lnc42163,20.13,4.863,5.085842371,-0.222,1.167,0.222492456
AHR2 TCDD 4,lncBX901923.2,26.745,11.478,11.68634963,-0.208,1.155,0.207977057
